2024-05-28T00:08:23.855+07:00  INFO 12948 --- [http-nio-8081-exec-3] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:08:24.600+07:00  INFO 12948 --- [http-nio-8081-exec-6] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:08:27.293+07:00  INFO 12948 --- [http-nio-8081-exec-1] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:08:37.030+07:00  INFO 12948 --- [http-nio-8081-exec-9] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:08:38.257+07:00  INFO 12948 --- [http-nio-8081-exec-6] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:08:39.825+07:00  INFO 12948 --- [http-nio-8081-exec-8] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:08:42.745+07:00  INFO 12948 --- [http-nio-8081-exec-10] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:09:03.919+07:00  INFO 12948 --- [http-nio-8081-exec-4] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:09:04.274+07:00  INFO 12948 --- [http-nio-8081-exec-10] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:09:06.893+07:00  INFO 12948 --- [http-nio-8081-exec-1] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:09:09.548+07:00  INFO 12948 --- [http-nio-8081-exec-9] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:09:17.345+07:00  INFO 12948 --- [http-nio-8081-exec-5] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:09:57.040+07:00  INFO 12948 --- [http-nio-8081-exec-7] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:09:57.299+07:00  INFO 12948 --- [http-nio-8081-exec-3] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:09:59.757+07:00  INFO 12948 --- [http-nio-8081-exec-10] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:10:05.759+07:00  INFO 12948 --- [http-nio-8081-exec-4] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:10:08.206+07:00  INFO 12948 --- [http-nio-8081-exec-3] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:10:15.690+07:00  INFO 12948 --- [http-nio-8081-exec-6] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:10:37.796+07:00  INFO 12948 --- [http-nio-8081-exec-7] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:10:38.260+07:00  INFO 12948 --- [http-nio-8081-exec-10] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:10:40.816+07:00  INFO 12948 --- [http-nio-8081-exec-6] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:10:44.264+07:00  INFO 12948 --- [http-nio-8081-exec-8] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:11:25.102+07:00  INFO 12948 --- [http-nio-8081-exec-3] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:11:25.397+07:00  INFO 12948 --- [http-nio-8081-exec-4] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:11:28.251+07:00  INFO 12948 --- [http-nio-8081-exec-6] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
2024-05-28T00:11:30.916+07:00  INFO 12948 --- [http-nio-8081-exec-5] c.e.b.controller.CourseController        : request: GetCourseRequest(start=0, limit=3)
